period_start,period_type,product_id,product_name,category,profile_mean_quantity,seasonal_month_mean_quantity,overall_quantity,overall_transactions,predicted_movement_level,probability_fast_moving,probability_medium_moving,probability_slow_moving,movement_confidence,movement_score
2026-01-01,month,1410,Prima Tea Bun 75g,Beverages,73.0,95.0,1752,653,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1416,Highland  Vanilla Milk 180ml,Dairy & Chilled,69.58333333333333,104.0,1670,871,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1418,Highland Fresh Milk 900ml,Dairy & Chilled,36.041666666666664,63.0,865,448,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1419,Highland Butter (Salted) 200g,Dairy & Chilled,38.375,41.5,921,477,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1422,Highland Milk Powder 400g,Dairy & Chilled,43.208333333333336,61.0,1037,550,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1426,Ambewela Fresh Milk (vanilla) 1L,Dairy & Chilled,21.791666666666668,25.0,523,276,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1430,Daily Vanilla milk 180ml,Dairy & Chilled,19.125,24.5,459,235,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1436,Kotmale Vanilla milk 170ml,Dairy & Chilled,36.458333333333336,43.0,875,424,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1449,Milo Drink 180ml,Beverages,95.54166666666667,153.5,2293,877,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1457,Ratthi Milk Powder 160g,Dairy & Chilled,17.791666666666668,16.0,427,226,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1477,Milkmaid 510g,General Grocery,30.166666666666668,36.5,724,376,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1478,White Sugar 1kg (Pkt),Staples & Dry Groceries,330.1666666666667,328.0,7924,1766,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1479,White Sugar 1kg,Staples & Dry Groceries,346.2083333333333,421.5,8309,1849,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1496,Tiara Layer Cake (Chocolate)310g,Snacks & Confectionery,117.75,166.0,2826,1005,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1499,Tiara Layer Cake (Vanilla)480g,Snacks & Confectionery,28.833333333333332,28.0,692,225,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1506,E/H Wonder Bar (Chocolate),Snacks & Confectionery,7.4,19.0,185,60,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1516,E/H Ice Cream (Chocolate) 80ml,Personal Care,27.458333333333332,36.5,659,386,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1517,E/H Ice Cream (Vanilla) 80ml,Personal Care,13.962962962962964,20.0,377,220,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1527,E/H Ice Cream (Chocolate) 500ml,Personal Care,17.375,43.0,417,246,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1553,Maliban Tea (Kahata-Poronduwa)50g,Beverages,8.72,22.5,218,76,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1562,Sun Silk Shampoo (King-coconut)80ML,Personal Care,68.75,92.0,1650,376,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1564,Watawala Tea 100g,Beverages,125.08333333333333,188.0,3002,1117,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1566,Watawala Tea 400g,Beverages,45.166666666666664,51.0,1084,416,Fast Moving,1.0,0.0,0.0,1.0,1.0
