period_start,period_type,product_id,product_name,category,profile_mean_quantity,seasonal_month_mean_quantity,overall_quantity,overall_transactions,predicted_movement_level,probability_fast_moving,probability_medium_moving,probability_slow_moving,movement_confidence,movement_score
2026-01-15,day,2137,Lanka Table Salt 400g,Staples & Dry Groceries,2.0229885057471266,7.0,176,47,Fast Moving,0.9987725604751636,0.0,0.0012274395248363095,0.9987725604751636,0.9987725604751636
2026-01-15,day,2056,Maggi Coconut Milk Powder 125g,Dairy & Chilled,12.065934065934066,16.517241379310345,7686,1804,Fast Moving,0.9972232382609793,0.0023609942721588566,0.00041576746686179206,0.9972232382609793,0.9984037353970587
2026-01-15,day,1854,CBL Nice Biscuits  100g,Snacks & Confectionery,8.92065868263473,12.40677966101695,5959,2151,Fast Moving,0.9962106042356187,0.0017047338839264064,0.002084661880454759,0.9962106042356187,0.9970629711775819
2026-01-15,day,1478,White Sugar 1kg (Pkt),Staples & Dry Groceries,13.032894736842104,11.927272727272728,7924,1766,Fast Moving,0.9746579571878466,0.02492627534529161,0.00041576746686179206,0.9746579571878466,0.9871210948604925
2026-01-15,day,2344,Coconut Oil 750ml (loose),Cooking Essentials,9.323251417769375,9.291666666666666,4932,1131,Fast Moving,0.9724699876172209,0.020740145014623144,0.006789867368156099,0.9724699876172209,0.9828400601245325
2026-01-15,day,2008,Marina Coconut Oil 350ml,Cooking Essentials,8.301587301587302,11.403846153846153,4707,1104,Fast Moving,0.9683047556884711,0.01624430484714593,0.015450939464382807,0.9683047556884711,0.976426908112044
2026-01-15,day,1562,Sun Silk Shampoo (King-coconut)80ML,Personal Care,5.188679245283019,6.814814814814815,1650,376,Fast Moving,0.9506893052575254,0.04506123873087926,0.004249456011595205,0.9506893052575254,0.973219924622965
2026-01-15,day,2059,Renuka Coconut Milk Powder 300g,Dairy & Chilled,6.395833333333333,7.553191489361702,3070,737,Fast Moving,0.9566607161671861,0.028515308128447464,0.01482397570436649,0.9566607161671861,0.9709183702314098
2026-01-15,day,2020,Harischandra Noodles 400g (2minutes),Staples & Dry Groceries,6.828685258964144,8.916666666666666,3428,804,Fast Moving,0.9403363907387271,0.05327234010427342,0.006391269156999286,0.9403363907387271,0.9669725607908638
2026-01-15,day,2261,Sunquick  Orange Fruit Drink 200ml,Beverages,3.6189024390243905,5.606060606060606,1187,404,Fast Moving,0.9366005608919262,0.05108634176807812,0.012313097339996013,0.9366005608919262,0.9621437317759652
2026-01-15,day,2019,Harischandra Noodles 400g,Staples & Dry Groceries,7.69258589511754,10.072727272727272,4254,1019,Fast Moving,0.9291033142838135,0.05892551641757558,0.01197116929861057,0.9291033142838135,0.9585660724926013
2026-01-15,day,2009,Marina Coconut Oil 675ml,Cooking Essentials,7.729629629629629,6.428571428571429,2087,449,Fast Moving,0.9213373247478002,0.07298184967917398,0.005680825573025639,0.9213373247478002,0.9578282495873871
2026-01-15,day,3116,Candy Sugar 80g,Staples & Dry Groceries,6.342436974789916,8.738095238095237,3019,748,Fast Moving,0.927961917836822,0.05823831681262177,0.013799765350556523,0.927961917836822,0.9570810762431329
2026-01-15,day,1656,Motha Icing Sugar 500g,Staples & Dry Groceries,7.737160120845921,5.2631578947368425,2561,566,Fast Moving,0.9350783223562995,0.039074203255822726,0.02584747438787831,0.9350783223562995,0.9546154239842108
2026-01-15,day,1977,Edinborough Chilli Sauce230g,Cooking Essentials,5.238372093023256,8.666666666666666,1802,417,Fast Moving,0.9171477500972963,0.07213734182724535,0.010714908075458225,0.9171477500972963,0.953216421010919
2026-01-15,day,2172,Wijaya Curry Powder 250g,Cooking Essentials,8.632380952380952,8.60377358490566,4532,1028,Fast Moving,0.9064337679378197,0.0791011633723581,0.014465068689821977,0.9064337679378197,0.9459843496239988
2026-01-15,day,1479,White Sugar 1kg,Staples & Dry Groceries,13.510569105691056,14.288135593220339,8309,1849,Fast Moving,0.8925964378315653,0.10535221300588439,0.0020513491625508825,0.8925964378315653,0.9452725443345075
2026-01-15,day,2514,Pears Baby Oil (Olive Oil) 100ml,Baby & Kids,7.136276391554702,9.0,3718,901,Fast Moving,0.8988812133133143,0.09048775658771303,0.010631030098972243,0.8988812133133143,0.9441250916071708
2026-01-15,day,2045,Edinborough Tomato Sauce 405g,Cooking Essentials,7.752688172043011,12.64,4326,1039,Fast Moving,0.8885761681691865,0.09773169153481542,0.013692140295998237,0.8885761681691865,0.9374420139365942
2026-01-15,day,1043,Baby Cheramy Oil 100ml,Baby & Kids,4.8119122257053295,6.67741935483871,1535,345,Fast Moving,0.892415496803946,0.08894568590272568,0.0186388172933281,0.892415496803946,0.9368883397553089
2026-01-15,day,2016,Fortune Coconut Oil 675ml,Cooking Essentials,5.377604166666667,6.619047619047619,2065,483,Fast Moving,0.8975312658897651,0.06633275779115293,0.03613597631908206,0.8975312658897651,0.9306976447853416
2026-01-15,day,3144,GoodKnight Mosquito Coil 10Hours,General Grocery,7.349716446124764,8.962264150943396,3888,918,Fast Moving,0.8940524507691325,0.06964511019696377,0.03630243903390358,0.8940524507691325,0.9288750058676144
2026-01-15,day,2279,Araliya Premium Samba Rice 1kg,Staples & Dry Groceries,7.925,9.58,4121,998,Fast Moving,0.8505812116833865,0.14412259385636286,0.005296194460251031,0.8505812116833865,0.9226425086115679
2026-01-15,day,2928,Revello Dark Chocolate 100g,Snacks & Confectionery,3.5545454545454547,4.888888888888889,1173,404,Fast Moving,0.8614858337169626,0.10386624869948664,0.03464791758355085,0.8614858337169626,0.9134189580667059
2026-01-15,day,2336,White Rice Flour 400g,Staples & Dry Groceries,5.248945147679325,5.083333333333333,1244,286,Fast Moving,0.8764228721905492,0.06961760203772835,0.05395952577172228,0.8764228721905492,0.9112316732094133
2026-01-15,day,1822,CBL Sun Cracker 95g,Snacks & Confectionery,3.7965616045845274,4.888888888888889,1325,488,Fast Moving,0.8427859556114677,0.1298535671743096,0.027360477214222582,0.8427859556114677,0.9077127391986225
2026-01-15,day,2535,CBL Potato Cracker 110g,Snacks & Confectionery,3.5352941176470587,6.064516129032258,1202,430,Fast Moving,0.833936830648133,0.14644520346615747,0.019617965885709455,0.833936830648133,0.9071594323812117
2026-01-15,day,3119,Rice Flakes (Samuel's Product) 200g,Staples & Dry Groceries,5.5852941176470585,7.9,1899,438,Fast Moving,0.8546783221487908,0.09401363737429026,0.05130804047691861,0.8546783221487908,0.901685140835936
2026-01-15,day,2196,Freelan Chilli  Pieces 100g,Cooking Essentials,3.0396039603960396,6.0,307,64,Fast Moving,0.896869593826017,0.00743089267380217,0.09569951350018097,0.896869593826017,0.9005850401629182
2026-01-15,day,3129,Ratthi Tea & Sugar Added Milk Mix 25g,Dairy & Chilled,5.960629921259843,5.863636363636363,1514,335,Fast Moving,0.8702180967743165,0.054332222742134915,0.07544968048354883,0.8702180967743165,0.897384208145384
2026-01-15,day,2194,Freelan Chilli  Powder 100g,Cooking Essentials,5.392265193370166,5.416666666666667,1952,461,Fast Moving,0.8157908795331342,0.14782746495983642,0.03638165550702946,0.8157908795331342,0.8897046120130524
2026-01-15,day,2190,Freelan Meat Curry Powder 250g,Cooking Essentials,5.045871559633028,6.314285714285714,1650,399,Fast Moving,0.7980419183322535,0.17982682623646526,0.022131255431280722,0.7980419183322535,0.8879553314504861
2026-01-15,day,2510,Kakulu-Samba Rice 1kg,Staples & Dry Groceries,5.120547945205479,6.685714285714286,1869,462,Fast Moving,0.7823887809155495,0.19795505205262728,0.019656167031823053,0.7823887809155495,0.8813663069418631
2026-01-15,day,1270,Lifebuoy Turmeric 100g,Cooking Essentials,5.673352435530086,7.518518518518518,1980,457,Fast Moving,0.814924991901628,0.12994669680662652,0.05512831129174552,0.814924991901628,0.8798983403049413
2026-01-15,day,2046,Edinborough Tomato Sauce 375g,Cooking Essentials,7.459016393442623,10.814814814814815,4095,1018,Fast Moving,0.7677765118480288,0.21952144056788236,0.01270204758408868,0.7677765118480288,0.8775372321319699
2026-01-15,day,3093,Delmege Soya Cuttlefish Flavour 90g,Cooking Essentials,2.0240963855421685,3.4285714285714284,168,41,Fast Moving,0.8737475434042963,0.004369520700912293,0.12188293589479166,0.8737475434042963,0.8759323037547524
2026-01-15,day,2629,Prima Self Raising Flour 1kg,Staples & Dry Groceries,7.726384364820847,5.761904761904762,2372,501,Fast Moving,0.8446925513440855,0.06244556911925801,0.09286187953665673,0.8446925513440855,0.8759153359037145
2026-01-15,day,2170,Wijaya Curry Powder 50g,Cooking Essentials,7.078313253012048,10.3125,3525,835,Fast Moving,0.7607062309749616,0.22477408487242037,0.014519684152618345,0.7607062309749616,0.8730932734111718
2026-01-15,day,2393,Kist Tomato Sauce 15g,Cooking Essentials,5.165191740412979,6.583333333333333,1751,431,Fast Moving,0.7632679122817047,0.21236752041532309,0.024364567302972366,0.7632679122817047,0.8694516724893662
2026-01-15,day,1657,Motha Icing Sugar 1kg,Staples & Dry Groceries,6.806682577565632,5.705882352941177,2852,683,Fast Moving,0.81329038929192,0.1107974947508197,0.0759121159572601,0.81329038929192,0.8686891366673298
2026-01-15,day,3006,Spinner Sugar Free 250ml,Staples & Dry Groceries,6.716666666666667,6.8,2821,665,Fast Moving,0.8579312711677174,0.021043773479769337,0.12102495535251366,0.8579312711677174,0.868453157907602
2026-01-15,day,1853,CBL Ginger Biscuits 400g,Cooking Essentials,8.392539964476022,11.333333333333334,4725,1122,Fast Moving,0.8363756986337098,0.06297623356926715,0.10064806779702355,0.8363756986337098,0.8678638154183433
2026-01-15,day,1989,KIST Chilli Sauce375g,Cooking Essentials,2.4705882352941178,5.2,252,55,Fast Moving,0.8007786077454024,0.131842012043931,0.06737938021066656,0.8007786077454024,0.8666996137673679
2026-01-15,day,3080,BabyCheramy Moisturizes & Cares Baby Shampoo 100ml,Baby & Kids,2.679814385150812,3.369565217391304,1155,682,Fast Moving,0.8064694829676824,0.11197452615198578,0.08155599088033215,0.8064694829676824,0.8624567460436753
2026-01-15,day,2329,"Kome Rice Cracker 45g (B,B,Q)",Staples & Dry Groceries,4.62396694214876,5.583333333333333,1119,263,Fast Moving,0.7495708705553537,0.22103720067980048,0.029391928764846444,0.7495708705553537,0.8600894708952539
2026-01-15,day,2280,Araliya Premium Nadu Rice 1kg,Staples & Dry Groceries,9.291984732824428,8.843137254901961,4869,1098,Fast Moving,0.7238792165499527,0.2656665508456367,0.01045423260441098,0.7238792165499527,0.856712491972771
2026-01-15,day,2773,Wijaya Noodles 400g,Staples & Dry Groceries,4.839650145772595,6.638888888888889,1660,402,Fast Moving,0.8072251516737105,0.09887460397559678,0.09390024435069298,0.8072251516737105,0.8566624536615088
2026-01-15,day,1567,Watawala Ayurvedic Tea 160g,Beverages,4.1524663677130045,4.717391304347826,1852,685,Fast Moving,0.7529926153487445,0.20142012105142268,0.0455872635998326,0.7529926153487445,0.8537026758744558
2026-01-15,day,3180,Edinborouah Dark Soya Sauce 600ml,Cooking Essentials,4.6656346749226,5.243243243243243,1507,388,Fast Moving,0.7519962231343297,0.20256712905011812,0.04543664781555218,0.7519962231343297,0.8532797876593887
2026-01-15,day,1789,Asiri Ddevilled Dhal 100g,Staples & Dry Groceries,4.985163204747774,5.791666666666667,1680,404,Fast Moving,0.7862280295147501,0.1261727901428945,0.08759918034235523,0.7862280295147501,0.8493144245861974
2026-01-15,day,3085,Lovely 2Ply White Toillet Tissue,General Grocery,5.33502538071066,6.428571428571429,1051,226,Fast Moving,0.7781233859228851,0.1406309178173649,0.08124569625975035,0.7781233859228851,0.8484388448315675
2026-01-15,day,1188,Baby Diaper (Softlove) 4pcs /L,Baby & Kids,3.4424460431654675,4.730769230769231,1914,1127,Fast Moving,0.7116318155002316,0.2637468812431513,0.024621303256617672,0.7116318155002316,0.8435052561218073
2026-01-15,day,2135,Lanka Salt 1kg,Staples & Dry Groceries,2.46875,7.333333333333333,237,42,Fast Moving,0.8409952484055404,0.0021869333942094223,0.15681781820024995,0.8409952484055404,0.8420887151026452
2026-01-15,day,2055,Maggi Coconut Milk Powder 25g,Dairy & Chilled,5.216101694915254,6.4375,1231,274,Fast Moving,0.6998990768590361,0.2788136948403691,0.021287228300595127,0.6998990768590361,0.8393059242792207
2026-01-15,day,1564,Watawala Tea 100g,Beverages,5.379928315412187,6.836363636363636,3002,1117,Fast Moving,0.6878209955763426,0.2994988126546786,0.012680191768979132,0.6878209955763426,0.8375704019036818
2026-01-15,day,2007,Marina Coconut Oil 200ml,Cooking Essentials,6.026315789473684,5.35,1603,347,Fast Moving,0.7262014989953038,0.2122390615063917,0.06155943949830506,0.7262014989953038,0.8323210297484998
2026-01-15,day,2162,Wijaya Chilli Pieces 50g,Cooking Essentials,4.297071129707113,4.913043478260869,1027,243,Fast Moving,0.7905173042484978,0.08257434090217351,0.12690835484932902,0.7905173042484978,0.8318044746995845
2026-01-15,day,2197,Freelan Dhall Curry Mix 50g,Cooking Essentials,2.5257731958762886,5.666666666666667,245,67,Fast Moving,0.6791422683681326,0.3037199163196807,0.017137815312186923,0.6791422683681326,0.831002226527973
2026-01-15,day,1954,MD Pineapple Jam 150g,General Grocery,0.6176470588235294,3.5,42,18,Fast Moving,0.6699831778490422,0.3133624665819965,0.016654355568961665,0.6699831778490422,0.8266644111400404
2026-01-15,day,2047,Edinborough Chilli Sauce 405g,Cooking Essentials,5.100313479623824,7.0,1627,385,Fast Moving,0.6857889712124666,0.2780244143594701,0.03618661442806288,0.6857889712124666,0.8248011783922017
2026-01-15,day,2330,"Kome Rice Cracker 90G (B,B,Q)",Staples & Dry Groceries,5.926966292134831,7.815789473684211,2110,466,Fast Moving,0.7714670929404293,0.10191419334527103,0.12661871371430036,0.7714670929404293,0.8224241896130647
2026-01-15,day,1121,Axe oil 5ml,Cooking Essentials,4.843657817109144,6.818181818181818,1642,398,Fast Moving,0.6553459944407197,0.3314398581414046,0.013214147417875612,0.6553459944407197,0.821065923511422
2026-01-15,day,2512,Pears Baby Soap (Aloevera) 95g,Baby & Kids,3.165009940357853,4.204081632653061,1592,896,Fast Moving,0.656836476399766,0.31614562834230286,0.027017895257930753,0.656836476399766,0.8149092905709174
2026-01-15,day,1836,Maliban Ginger Biscuit 370g,Cooking Essentials,7.790170132325142,9.454545454545455,4121,955,Fast Moving,0.8004333891506945,0.022927810436785358,0.17663880041252114,0.8004333891506945,0.8118972943690872
