rule_id,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_items,consequent_items,all_items,rule_strength,antecedent_product_ids,consequent_product_ids,antecedent_product_names,consequent_product_names
1,"frozenset({'2861', '2172'})",frozenset({'2280'}),0.04354906809819652,0.055793473671512155,0.04354906809819652,1.0,17.923243243243242,1.0,0.0411193143138409,inf,0.9871980828656114,0.7805405405405407,1.0,0.8902702702702703,"['2172', '2861']",['2280'],"['2172', '2280', '2861']",0.8203984408834992,"2172,2861",2280,Wijaya Curry Powder 250g|Coconut Milk 500ml,Araliya Premium Nadu Rice 1kg
2,"frozenset({'2861', '2172'})",frozenset({'2344'}),0.04354906809819652,0.05784426081187044,0.04354906809819652,1.0,17.287799791449427,1.0,0.04103000444501053,inf,0.9850539194046792,0.7528675703858186,1.0,0.8764337851929094,"['2172', '2861']",['2344'],"['2172', '2344', '2861']",0.8203984408834992,"2172,2861",2344,Wijaya Curry Powder 250g|Coconut Milk 500ml,Coconut Oil 750ml (loose)
3,"frozenset({'3043', '3187'})",frozenset({'1275'}),0.03606972676277218,0.04276494360335364,0.03606972676277218,1.0,23.383638928067704,1.0,0.03452720693197386,inf,0.9930542519241601,0.843441466854725,1.0,0.9217207334273625,"['3043', '3187']",['1275'],"['1275', '3043', '3187']",0.816608921611087,"3043,3187",1275,Sunlight 2Bar|Diva Power Liquid Detergent 1L,Sunlight ( Lime & Orange) 115g
4,"frozenset({'1915', '3043'})",frozenset({'1275'}),0.03606972676277218,0.04276494360335364,0.03606972676277218,1.0,23.383638928067704,1.0,0.03452720693197386,inf,0.9930542519241601,0.843441466854725,1.0,0.9217207334273625,"['1915', '3043']",['1275'],"['1275', '1915', '3043']",0.816608921611087,"1915,3043",1275,Sunlight 2in1 (Lemon) 1kg|Sunlight 2Bar,Sunlight ( Lime & Orange) 115g
5,"frozenset({'3043', '3187'})",frozenset({'1915'}),0.03606972676277218,0.04385065444236685,0.03606972676277218,1.0,22.80467675378267,1.0,0.03448804563866727,inf,0.9919279143983482,0.8225584594222835,1.0,0.9112792297111417,"['3043', '3187']",['1915'],"['1915', '3043', '3187']",0.816608921611087,"3043,3187",1915,Sunlight 2Bar|Diva Power Liquid Detergent 1L,Sunlight 2in1 (Lemon) 1kg
6,"frozenset({'1915', '1275'})",frozenset({'3043'}),0.03606972676277218,0.044212558055371255,0.03606972676277218,1.0,22.61800818553888,1.0,0.03447499187423174,inf,0.9915524685564109,0.815825375170532,1.0,0.907912687585266,"['1275', '1915']",['3043'],"['1275', '1915', '3043']",0.816608921611087,"1275,1915",3043,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg,Sunlight 2Bar
7,"frozenset({'1915', '3043'})",frozenset({'3187'}),0.03606972676277218,0.04433319259303939,0.03606972676277218,1.0,22.556462585034012,1.0,0.034470640619419894,inf,0.9914273199424317,0.8136054421768708,1.0,0.9068027210884353,"['1915', '3043']",['3187'],"['1915', '3043', '3187']",0.816608921611087,"1915,3043",3187,Sunlight 2in1 (Lemon) 1kg|Sunlight 2Bar,Diva Power Liquid Detergent 1L
8,"frozenset({'1915', '1275'})",frozenset({'3187'}),0.03606972676277218,0.04433319259303939,0.03606972676277218,1.0,22.556462585034012,1.0,0.034470640619419894,inf,0.9914273199424317,0.8136054421768708,1.0,0.9068027210884353,"['1275', '1915']",['3187'],"['1275', '1915', '3187']",0.816608921611087,"1275,1915",3187,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg,Diva Power Liquid Detergent 1L
9,"frozenset({'1915', '3187'})",frozenset({'1275'}),0.036130044031606245,0.04276494360335364,0.03606972676277218,0.9983305509181971,23.34460113353003,1.0,0.03452462746737386,573.3837987816316,0.9930422015814082,0.8422535211267606,0.9982559674652042,0.920886008886461,"['1915', '3187']",['1275'],"['1275', '1915', '3187']",0.8081312256388047,"1915,3187",1275,Sunlight 2in1 (Lemon) 1kg|Diva Power Liquid Detergent 1L,Sunlight ( Lime & Orange) 115g
10,"frozenset({'3187', '1275'})",frozenset({'1915'}),0.036130044031606245,0.04385065444236685,0.03606972676277218,0.9983305509181971,22.766605507115255,1.0,0.034485400686954715,572.7334579890627,0.9919139099459608,0.8214285714285714,0.9982539871103199,0.9104445051702403,"['1275', '3187']",['1915'],"['1275', '1915', '3187']",0.8081312256388047,"1275,3187",1915,Sunlight ( Lime & Orange) 115g|Diva Power Liquid Detergent 1L,Sunlight 2in1 (Lemon) 1kg
11,"frozenset({'1915', '3187'})",frozenset({'3043'}),0.036130044031606245,0.044212558055371255,0.03606972676277218,0.9983305509181971,22.580248572541322,1.0,0.03447232509348167,572.5166777248729,0.9915378127341452,0.8147138964577658,0.9982533259922245,0.9070779630443646,"['1915', '3187']",['3043'],"['1915', '3043', '3187']",0.8081312256388047,"1915,3187",3043,Sunlight 2in1 (Lemon) 1kg|Diva Power Liquid Detergent 1L,Sunlight 2Bar
12,"frozenset({'3187', '1275'})",frozenset({'3043'}),0.036130044031606245,0.044212558055371255,0.03606972676277218,0.9983305509181971,22.580248572541322,1.0,0.03447232509348167,572.5166777248729,0.9915378127341452,0.8147138964577658,0.9982533259922245,0.9070779630443646,"['1275', '3187']",['3043'],"['1275', '3043', '3187']",0.8081312256388047,"1275,3187",3043,Sunlight ( Lime & Orange) 115g|Diva Power Liquid Detergent 1L,Sunlight 2Bar
