product_a,product_b,pair_count,support,confidence_ab,confidence_ba,max_confidence,lift,score
2456,2461,177,0.008373545273914278,0.5654952076677316,0.59,0.59,39.84479233226837,20.26686707161247
2401,2461,175,0.008278928943135585,0.5573248407643312,0.5833333333333334,0.5833333333333334,39.26910828025478,19.9751327189901
2461,2507,178,0.008420853439303624,0.5933333333333334,0.55625,0.5933333333333334,39.193375,19.943104568786076
2461,2575,175,0.008278928943135585,0.5833333333333334,0.54858934169279,0.5833333333333334,38.65360501567398,19.667381086699702
2401,2456,177,0.008373545273914278,0.5636942675159236,0.5654952076677316,0.5654952076677316,38.06827292891882,19.371255932238018
2456,2507,179,0.00846816160469297,0.5718849840255591,0.559375,0.5718849840255591,37.77657747603834,19.229217465320694
2456,2575,176,0.00832623710852493,0.5623003194888179,0.5517241379310345,0.5623003194888179,37.25988762807095,18.96515865205262
2401,2507,176,0.00832623710852493,0.5605095541401274,0.55,0.5605095541401274,37.02515923566879,18.84725722624693
2401,2575,175,0.008278928943135585,0.5573248407643312,0.54858934169279,0.5573248407643312,36.930195874847755,18.797873968515887
1978,2029,203,0.009603557574037278,0.6170212765957447,0.5686274509803921,0.6170212765957447,36.53388163776149,18.644118353340215
1152,1186,194,0.009177784085533163,0.5722713864306784,0.5825825825825826,0.5825825825825826,36.3263440431582,18.52150247806454
1517,1997,72,0.0034061879080329264,0.32727272727272727,0.38095238095238093,0.38095238095238093,36.602597402597404,18.483708173745075
2507,2575,175,0.008278928943135585,0.546875,0.54858934169279,0.54858934169279,36.23775470219436,18.449032732467728
2892,3243,82,0.0038792695619263885,0.3778801843317972,0.37272727272727274,0.3778801843317972,36.30741516547968,18.344657029277908
2504,2569,182,0.008610086100861008,0.56875,0.5432835820895522,0.56875,35.88727611940298,18.286464781718713
1978,2333,199,0.009414324912479894,0.6048632218844985,0.5574229691876751,0.6048632218844985,35.81400219662333,18.27674656312661
2460,2504,180,0.008515469770082317,0.5389221556886228,0.5625,0.5625,35.59917664670659,18.13864771875494
2499,2837,230,0.010880878039549626,0.6117021276595744,0.6233062330623306,0.6233062330623306,35.041082857637086,17.925150859528234
2504,2568,181,0.008562777935471663,0.565625,0.5323529411764706,0.565625,35.165238970588234,17.92356254400355
2299,2397,67,0.0031696470810861953,0.32682926829268294,0.3435897435897436,0.3435897435897436,35.42829268292683,17.880616206162063
3054,3170,88,0.004163118554262465,0.3776824034334764,0.3893805309734513,0.3893805309734513,35.325002848570016,17.862577954662296
1043,1060,212,0.010029331062541395,0.6144927536231884,0.5698924731182796,0.6144927536231884,34.91706404862085,17.84346647164821
1077,1186,194,0.009177784085533163,0.5495750708215298,0.5825825825825826,0.5825825825825826,34.885639180256746,17.801150046613813
1043,2683,214,0.010123947393320088,0.6202898550724638,0.5661375661375662,0.6202898550724638,34.68700253048079,17.732067169628536
1670,3164,235,0.011117418866496358,0.633423180592992,0.6072351421188631,0.633423180592992,34.597672329133495,17.711211496074572
1882,1934,232,0.010975494370328319,0.6089238845144357,0.6236559139784946,0.6236559139784946,34.600626534586404,17.706919928893317
2460,2569,183,0.008657394266250356,0.5479041916167665,0.5462686567164179,0.5479041916167665,34.57193672356779,17.623487504593932
1077,1152,195,0.00922509225092251,0.5524079320113314,0.5752212389380531,0.5752212389380531,34.444834415503024,17.579485424451377
2860,3112,211,0.009982022897152049,0.5749318801089919,0.596045197740113,0.596045197740113,34.33025446820302,17.543581251366586
1574,1978,198,0.009367016747090548,0.5336927223719676,0.601823708206687,0.601823708206687,34.289351870816574,17.512563382812104
2371,2645,260,0.012300123001230012,0.6598984771573604,0.6341463414634146,0.6598984771573604,34.021790268664105,17.45486713750386
1276,3050,212,0.010029331062541395,0.5840220385674931,0.5824175824175825,0.5840220385674931,33.91499409681228,17.333290281227214
1163,3112,210,0.009934714731762702,0.5675675675675675,0.5932203389830508,0.5932203389830508,33.89051763628035,17.321919214470345
3200,3208,236,0.011164727031885703,0.6327077747989276,0.5959595959595959,0.6327077747989276,33.77317410025185,17.299693923203318
1079,1225,235,0.011117418866496358,0.6072351421188631,0.6151832460732984,0.6151832460732984,33.60140427777101,17.20760549003742
1276,1937,212,0.010029331062541395,0.5840220385674931,0.5760869565217391,0.5840220385674931,33.54635285662954,17.148969661135844
1516,1996,219,0.010360488220266818,0.5673575129533679,0.611731843575419,0.611731843575419,33.499450024604165,17.140454329780045
1314,1934,232,0.010975494370328319,0.5888324873096447,0.6236559139784946,0.6236559139784946,33.4589814966432,17.136097409921714
1148,1253,240,0.011353959693443088,0.6106870229007634,0.6217616580310881,0.6217616580310881,33.44223391211486,17.134724647335617
1937,3050,212,0.010029331062541395,0.5760869565217391,0.5824175824175825,0.5824175824175825,33.45419254658385,17.102408169268028
2460,2568,180,0.008515469770082317,0.5389221556886228,0.5294117647058824,0.5389221556886228,33.505107432194436,17.084539758205448
2877,2961,223,0.010549720881824202,0.5777202072538861,0.6092896174863388,0.6092896174863388,33.36570967467935,17.076636140222064
1153,1602,216,0.01021856372409878,0.6,0.5684210526315789,0.6,33.37578947368421,17.07226601132408
2837,3062,232,0.010975494370328319,0.6287262872628726,0.581453634085213,0.6287262872628726,33.30831142897895,17.062283488074904
1870,3244,266,0.01258397199356609,0.6318289786223278,0.6616915422885572,0.6616915422885572,33.222887935618814,17.061630870367296
2636,3200,235,0.011117418866496358,0.5875,0.6300268096514745,0.6300268096514745,33.29376675603217,17.058239798241452
2048,2204,214,0.010123947393320088,0.5631578947368421,0.5994397759103641,0.5994397759103641,33.34462627156125,17.05462401642014
1253,3146,241,0.011401267858832434,0.6243523316062176,0.6070528967254408,0.6243523316062176,33.24322313726002,17.03694262528852
2568,2569,180,0.008515469770082317,0.5294117647058824,0.5373134328358209,0.5373134328358209,33.40509218612818,17.034049518316483
1079,1891,239,0.011306651528053742,0.6175710594315246,0.6081424936386769,0.6175710594315246,33.216837288202456,17.01982299249176
1091,1186,193,0.009130475920143816,0.5244565217391305,0.5795795795795796,0.5795795795795796,33.29117704661183,17.002071915582665
1098,1153,214,0.010123947393320088,0.5661375661375662,0.5944444444444444,0.5944444444444444,33.24171075837742,17.00166766038845
2204,2367,214,0.010123947393320088,0.5994397759103641,0.5602094240837696,0.5994397759103641,33.17004707642219,16.96733441885061
2304,2892,85,0.004021194058094427,0.3441295546558704,0.391705069124424,0.391705069124424,33.52170749454281,16.95878914917062
1225,1891,235,0.011117418866496358,0.6151832460732984,0.5979643765903307,0.6151832460732984,33.08840573917909,16.95110622074146
2029,2333,200,0.00946163307786924,0.5602240896358543,0.5602240896358543,0.5602240896358543,33.170915424993524,16.9427576009449
1883,3170,88,0.004163118554262465,0.35772357723577236,0.3893805309734513,0.3893805309734513,33.458234405352904,16.92919373305374
2036,2961,221,0.010455104551045511,0.572538860103627,0.6038251366120219,0.6038251366120219,33.06646564172259,16.92348245286581
2961,3180,222,0.010502412716434857,0.6065573770491803,0.5721649484536082,0.6065573770491803,33.04487071150921,16.914450823198056
1091,1152,195,0.00922509225092251,0.529891304347826,0.5752212389380531,0.5752212389380531,33.04083301269719,16.87748472304846
1689,3200,234,0.01107011070110701,0.5806451612903226,0.6273458445040214,0.6273458445040214,32.90530139237222,16.86225666355946
1153,3059,216,0.01021856372409878,0.6,0.561038961038961,0.6,32.942337662337664,16.855540105650807
1314,1882,233,0.011022802535717665,0.5913705583756346,0.6115485564304461,0.6115485564304461,32.809424837123785,16.808633036205382
1102,1153,214,0.010123947393320088,0.5587467362924282,0.5944444444444444,0.5944444444444444,32.80774586597041,16.784685214184943
2294,2504,182,0.008610086100861008,0.4972677595628415,0.56875,0.56875,32.84764344262295,16.766648443328698
1225,1939,237,0.011212035197275049,0.6204188481675392,0.5910224438902744,0.6204188481675392,32.7042733480435,16.762503032417513
2892,2893,85,0.004021194058094427,0.391705069124424,0.34,0.391705069124424,33.1194470046083,16.757658904203364
1163,2860,210,0.009934714731762702,0.5675675675675675,0.5722070844686649,0.5722070844686649,32.69003608513145,16.71537446254158
1069,1562,218,0.010313180054877472,0.5797872340425532,0.5797872340425532,0.5797872340425532,32.59452806699864,16.677463804809637
2746,2837,230,0.010880878039549626,0.5679012345679012,0.6233062330623306,0.6233062330623306,32.53196828264579,16.670593572032587
1527,2892,83,0.003926577727315735,0.33739837398373984,0.3824884792626728,0.3824884792626728,32.866022254692595,16.626289225671417
1670,2782,232,0.010975494370328319,0.6253369272237197,0.5686274509803921,0.6253369272237197,32.3979705089583,16.606096220052834
2499,3062,230,0.010880878039549626,0.6117021276595744,0.5764411027568922,0.6117021276595744,32.40641497360422,16.604335685890973
1148,3146,239,0.011306651528053742,0.6081424936386769,0.6020151133501259,0.6081424936386769,32.38014113484723,16.598646346076293
