period_type,period_start,period_end,period_label,bundle_rank,bundle_id,product_count,product_ids,product_names,categories,movement_labels,fast_product_count,medium_product_count,slow_product_count,fp_growth_support,avg_pair_confidence,avg_pair_lift,graph_density,test_exact_support,test_attachment_rate,test_average_overlap,test_lift,seasonal_demand_score,period_bundle_score,normal_bundle_retail_price,estimated_bundle_cost,normal_bundle_profit,suggested_discount_pct,promo_bundle_price,promo_bundle_profit,promo_profit_margin,estimated_bundle_retail_price,estimated_bundle_profit,insight,source
week,2026-07-20,2026-07-26,20 Jul 2026 - 26 Jul 2026,12,99,6,"1449,1478,1854,2056,2378,3066",Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g|MD WoodApple Jam 300g,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,0.8666666666666667,0.0002358490566037736,0.03514150943396226,0.35283018867924526,218977.30269676558,0.004415454089312594,0.8477194384842176,1580.0,1454.51,125.49,0.0058,1570.87,116.36,0.0741,1570.87,116.36,5 fast + 0 medium + 1 slow products; seasonally ranked for 20 Jul 2026 - 26 Jul 2026.,adaptive_fp_growth_fast_slow
month,2026-07-01,2026-07-31,July 2026,1,2,6,"1451,1854,2019,2046,2069,2478",Sustagen 400g|CBL Nice Biscuits  100g|Harischandra Noodles 400g|Edinborough Tomato Sauce 375g|CocaCola 1.5L|Ritzbury Chocolate (Peanut) 45g,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.027741854357309276,0.7136255520272787,17.12537590606319,1.0,0.0,0.04929245283018868,0.3259433962264151,0.0,0.00409330695680844,0.9162779209353322,4790.0,4331.05,458.95,0.0235,4677.53,346.48,0.0741,4677.53,346.48,5 fast + 0 medium + 1 slow products; seasonally ranked for July 2026.,adaptive_fp_growth_fast_slow
month,2026-07-01,2026-07-31,July 2026,2,51,6,"1122,1449,1478,1854,2056,2378",Vaseline Sun+ 100ml|Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,1.0,0.0002358490566037736,0.03514150943396226,0.35259433962264153,291969.7369290208,0.004323689416419387,0.8990783575093748,2190.0,1959.13,230.87,0.0339,2115.86,156.73,0.0741,2115.86,156.73,5 fast + 0 medium + 1 slow products; seasonally ranked for July 2026.,adaptive_fp_growth_fast_slow
month,2026-07-01,2026-07-31,July 2026,3,46,6,"1449,1478,1854,2056,2378,3019",Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g|Vaseline Kiss of Petals 100ml,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,1.0,0.0002358490566037736,0.03514150943396226,0.35400943396226414,97323.24564300693,0.004346356742499176,0.8932085697735256,1800.0,1618.52,181.48,0.0289,1748.0,129.48,0.0741,1748.0,129.48,5 fast + 0 medium + 1 slow products; seasonally ranked for July 2026.,adaptive_fp_growth_fast_slow
month,2026-07-01,2026-07-31,July 2026,4,49,6,"1123,1449,1478,1854,2056,2378",Vaseline Cocoa 100ml|Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,1.0,0.0,0.03514150943396226,0.35283018867924526,0.0,0.004323689416419387,0.8918113016917646,2020.0,1904.51,115.49,0.0,2020.0,115.49,0.0572,2020.0,115.49,5 fast + 0 medium + 1 slow products; seasonally ranked for July 2026.,adaptive_fp_growth_fast_slow
month,2026-07-01,2026-07-31,July 2026,5,47,6,"1449,1478,1854,2056,2378,2380",Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g|Red Bull 355ml,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,1.0,0.0002358490566037736,0.03514150943396226,0.3535377358490566,125129.8872552946,0.004391691394658752,0.8915464078238401,1750.0,1507.57,242.43,0.0653,1635.81,128.24,0.0784,1635.81,128.24,5 fast + 0 medium + 1 slow products; seasonally ranked for July 2026.,adaptive_fp_growth_fast_slow
month,2026-07-01,2026-07-31,July 2026,6,75,6,"1478,2056,2114,2172,2280,2344",White Sugar 1kg (Pkt)|Maggi Coconut Milk Powder 125g|Kandos Choconuts 70g|Wijaya Curry Powder 250g|Araliya Premium Nadu Rice 1kg|Coconut Oil 750ml (loose),Cooking Essentials|Dairy & Chilled|General Grocery|Staples & Dry Groceries,Fast|Fast|Slow|Fast|Fast|Fast,5,0,1,0.01810088633781257,0.5166282143141184,11.994636998508588,0.8666666666666667,0.0,0.03349056603773585,0.27264150943396226,0.0,0.004192218925156611,0.8797109629010406,1830.0,1687.0,143.0,0.0044,1821.96,134.96,0.0741,1821.96,134.96,5 fast + 0 medium + 1 slow products; seasonally ranked for July 2026.,adaptive_fp_growth_fast_slow
month,2026-07-01,2026-07-31,July 2026,7,50,6,"1449,1478,1854,2056,2378,2865",Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g|Zero Cola 400ml,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,1.0,0.0,0.03514150943396226,0.35306603773584905,0.0,0.004346356742499176,0.8744605194590603,1400.0,1276.51,123.49,0.0153,1378.63,102.12,0.0741,1378.63,102.12,5 fast + 0 medium + 1 slow products; seasonally ranked for July 2026.,adaptive_fp_growth_fast_slow
month,2026-07-01,2026-07-31,July 2026,8,99,6,"1449,1478,1854,2056,2378,3066",Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g|MD WoodApple Jam 300g,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,0.8666666666666667,0.0002358490566037736,0.03514150943396226,0.35283018867924526,218977.30269676558,0.004369024068578965,0.8744194384842175,1580.0,1454.51,125.49,0.0058,1570.87,116.36,0.0741,1570.87,116.36,5 fast + 0 medium + 1 slow products; seasonally ranked for July 2026.,adaptive_fp_growth_fast_slow
month,2026-07-01,2026-07-31,July 2026,9,52,6,"1449,1478,1614,1854,2056,2378",Milo Drink 180ml|White Sugar 1kg (Pkt)|Bic 3|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Slow|Fast|Fast|Fast,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,1.0,0.0,0.03514150943396226,0.35235849056603774,0.0,0.004414358720738542,0.868677276534532,1300.0,1182.51,117.49,0.0176,1277.11,94.6,0.0741,1277.11,94.6,5 fast + 0 medium + 1 slow products; seasonally ranked for July 2026.,adaptive_fp_growth_fast_slow
month,2026-07-01,2026-07-31,July 2026,10,98,6,"1125,1449,1478,1854,2056,2378",Vaseline Healthy 100ml|Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,0.8666666666666667,0.0,0.03514150943396226,0.3535377358490566,0.0,0.004369024068578965,0.8673945446162931,1440.0,1309.51,130.49,0.0179,1414.27,104.76,0.0741,1414.27,104.76,5 fast + 0 medium + 1 slow products; seasonally ranked for July 2026.,adaptive_fp_growth_fast_slow
month,2026-07-01,2026-07-31,July 2026,11,81,6,"1416,1479,1564,1836,1853,3152",Highland  Vanilla Milk 180ml|White Sugar 1kg|Watawala Tea 100g|Maliban Ginger Biscuit 370g|CBL Ginger Biscuits 400g|GreenLand Button Mushrooms 425g,Beverages|Cooking Essentials|Dairy & Chilled|General Grocery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.032202781124125744,0.756268736807968,16.702566482033365,1.0,0.0,0.03018867924528302,0.24528301886792453,0.0,0.0038843554236729313,0.8654167855665316,1955.0,1799.38,155.62,0.006,1943.33,143.95,0.0741,1943.33,143.95,5 fast + 0 medium + 1 slow products; seasonally ranked for July 2026.,adaptive_fp_growth_fast_slow
